Exercício: 2023
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Cálculo Acima da Linha - Receitas Primárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS DE CAPITAL (EXCETO FONTES RPPS) (VII)";"siconfi-cor_ReceitasDeCapitalExcetoFontesRPPS";1154746330,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Operações de Crédito (VIII)";"siconfi-cor_RREO6OperacoesDeCredito";1050000000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Amortização de Empréstimos (IX)";"siconfi-cor_RREO6AmortizacaoDeEmprestimos";47148080,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Alienação de Bens";"siconfi-cor_RREO6AlienacaoDeBens";26506000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outras Alienações de Bens";"siconfi-cor_OutrasAlienacoesDeBens";26506000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Transferências de Capital";"siconfi-cor_RREO6TransferenciasDeCapital";31092250,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Convênios";"siconfi-cor_RREO6ConveniosCapital";30092250,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outras Transferências de Capital";"siconfi-cor_RREO6OutrasTransferenciasDeCapital";1000000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS DE CAPITAL (EXCETO FONTES RPPS) (XIII) = (VII - (VIII + IX + X + XI + XII))";"siconfi-cor_ReceitasPrimariasDeCapitalExcetoFontesRPPS";57598250,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITA PRIMÁRIA TOTAL (XVI) = (IV + V + XIII + XIV)";"siconfi-cor_RREO6TotalReceitaPrimaria";42261818220,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITA PRIMÁRIA TOTAL (EXCETO FONTES RPPS) (XVII) = (IV + XIII)";"siconfi-cor_ReceitaPrimariaTotalExcetoFontesRPPS";38897174421,00
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";41945087264,62
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";28615498141,73
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"ICMS";"siconfi-cor_RREO6ICMS";21579146132,93
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"IPVA";"siconfi-cor_RREO6IPVA";1513904836,04
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"ITCD";"siconfi-cor_RREO6ITCD";762041793,71
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"IRRF";"siconfi-cor_RREO6IRRF";2770651612,7
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";1989753766,35
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";361139656,12
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";1629780936,38
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";1447695553,48
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";182085382,9
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Transferências Correntes";"siconfi-cor_RREO6TransferenciasCorrentes";9531881439,82
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Cota-Parte do FPE";"siconfi-cor_RREO6CotaParteDoFPE";1579103567,12
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Transferências da LC nº 61/1989";"siconfi-cor_TransferenciasDaLCn611989";203935881,24
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Transferências do FUNDEB";"siconfi-cor_TransferenciasDoFUNDEB";3952392270,09
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outras Transferências Correntes";"siconfi-cor_RREO6OutrasTransferenciasCorrentes";3796449721,37
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Demais Receitas Correntes";"siconfi-cor_RREO6DemaisReceitasCorrentes";1806787090,57
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outras Receitas Financeiras (III)";"siconfi-cor_OutrasReceitasFinanceiras";39066130,83
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Receitas Correntes Restantes";"siconfi-cor_RREO6DiversasReceitasCorrentes";1767720959,74
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS CORRENTES (EXCETO FONTES RPPS) (IV) = (I - (II + III))";"siconfi-cor_ReceitasPrimariasCorrentesExcetoFontesRPPS";40458325580,31
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS CORRENTES (COM FONTES RPPS) (V)";"siconfi-cor_ReceitasPrimariasCorrentesComFontesRPPS";3466496647,16
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS NÃO PRIMÁRIAS CORRENTES (COM FONTES RPPS) (VI)";"siconfi-cor_ReceitasNaoPrimariasCorrentesComFontesRPPS";93552333,46
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS DE CAPITAL (EXCETO FONTES RPPS) (VII)";"siconfi-cor_ReceitasDeCapitalExcetoFontesRPPS";150940027,24
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Operações de Crédito (VIII)";"siconfi-cor_RREO6OperacoesDeCredito";18800000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Amortização de Empréstimos (IX)";"siconfi-cor_RREO6AmortizacaoDeEmprestimos";49826793,64
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Alienação de Bens";"siconfi-cor_RREO6AlienacaoDeBens";17920402,1
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outras Alienações de Bens";"siconfi-cor_OutrasAlienacoesDeBens";17920402,1
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Transferências de Capital";"siconfi-cor_RREO6TransferenciasDeCapital";64392831,5
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Convênios";"siconfi-cor_RREO6ConveniosCapital";59906788,52
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"Outras Transferências de Capital";"siconfi-cor_RREO6OutrasTransferenciasDeCapital";4486042,98
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS DE CAPITAL (EXCETO FONTES RPPS) (XIII) = (VII - (VIII + IX + X + XI + XII))";"siconfi-cor_ReceitasPrimariasDeCapitalExcetoFontesRPPS";82313233,6
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITA PRIMÁRIA TOTAL (XVI) = (IV + V + XIII + XIV)";"siconfi-cor_RREO6TotalReceitaPrimaria";44007135461,07
Governo do Estado de Santa Catarina;42;SC;7338473;"RECEITAS REALIZADAS (a)";"RECEITA PRIMÁRIA TOTAL (EXCETO FONTES RPPS) (XVII) = (IV + XIII)";"siconfi-cor_ReceitaPrimariaTotalExcetoFontesRPPS";40540638813,91
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";38023176993,53
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";21919490000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"ICMS";"siconfi-cor_RREO6ICMS";14684070000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"IPVA";"siconfi-cor_RREO6IPVA";816189000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"ITCD";"siconfi-cor_RREO6ITCD";606122000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"IRRF";"siconfi-cor_RREO6IRRF";2281541000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";3531568000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";423859000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";999679236,23
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";894572236,23
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";105107000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Transferências Correntes";"siconfi-cor_RREO6TransferenciasCorrentes";9354889517,13
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Cota-Parte do FPE";"siconfi-cor_RREO6CotaParteDoFPE";4260157000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Transferências da LC nº 61/1989";"siconfi-cor_TransferenciasDaLCn611989";97635000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Transferências do FUNDEB";"siconfi-cor_TransferenciasDoFUNDEB";3301092634,39
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Transferências Correntes";"siconfi-cor_RREO6OutrasTransferenciasCorrentes";1696004882,74
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Demais Receitas Correntes";"siconfi-cor_RREO6DemaisReceitasCorrentes";5325259240,17
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Receitas Financeiras (III)";"siconfi-cor_OutrasReceitasFinanceiras";61627000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Receitas Correntes Restantes";"siconfi-cor_RREO6DiversasReceitasCorrentes";5263632240,17
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS CORRENTES (EXCETO FONTES RPPS) (IV) = (I - (II + III))";"siconfi-cor_ReceitasPrimariasCorrentesExcetoFontesRPPS";37066977757,3
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS CORRENTES (COM FONTES RPPS) (V)";"siconfi-cor_ReceitasPrimariasCorrentesComFontesRPPS";2728981000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS NÃO PRIMÁRIAS CORRENTES (COM FONTES RPPS) (VI)";"siconfi-cor_ReceitasNaoPrimariasCorrentesComFontesRPPS";19615000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS DE CAPITAL (EXCETO FONTES RPPS) (VII)";"siconfi-cor_ReceitasDeCapitalExcetoFontesRPPS";184359490,39
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Operações de Crédito (VIII)";"siconfi-cor_RREO6OperacoesDeCredito";30000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Amortização de Empréstimos (IX)";"siconfi-cor_RREO6AmortizacaoDeEmprestimos";15367000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Alienação de Bens";"siconfi-cor_RREO6AlienacaoDeBens";46516000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Alienações de Bens";"siconfi-cor_OutrasAlienacoesDeBens";46516000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Transferências de Capital";"siconfi-cor_RREO6TransferenciasDeCapital";108719490,39
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Convênios";"siconfi-cor_RREO6ConveniosCapital";70437490,39
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Transferências de Capital";"siconfi-cor_RREO6OutrasTransferenciasDeCapital";38282000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Receitas de Capital";"siconfi-cor_RREO6OutrasReceitasDeCapital";13727000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"Outras Receitas de Capital Primárias";"siconfi-cor_OutrasReceitasDeCapitalPrimarias";13727000,00
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS DE CAPITAL (EXCETO FONTES RPPS) (XIII) = (VII - (VIII + IX + X + XI + XII))";"siconfi-cor_ReceitasPrimariasDeCapitalExcetoFontesRPPS";168962490,39
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITA PRIMÁRIA TOTAL (XVI) = (IV + V + XIII + XIV)";"siconfi-cor_RREO6TotalReceitaPrimaria";39964921247,69
Governo do Estado de Goiás;52;GO;7206589;"PREVISÃO ATUALIZADA";"RECEITA PRIMÁRIA TOTAL (EXCETO FONTES RPPS) (XVII) = (IV + XIII)";"siconfi-cor_ReceitaPrimariaTotalExcetoFontesRPPS";37235940247,69
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";38823327526,72
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";22212155353,15
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"ICMS";"siconfi-cor_RREO6ICMS";14505998420,87
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"IPVA";"siconfi-cor_RREO6IPVA";1275103843,52
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"ITCD";"siconfi-cor_RREO6ITCD";984159991,95
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"IRRF";"siconfi-cor_RREO6IRRF";2544174583,4
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";2902718513,41
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";428395449,65
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";1802516786,67
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";1666637510,24
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";135879276,43
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Transferências Correntes";"siconfi-cor_RREO6TransferenciasCorrentes";9720419580,29
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Cota-Parte do FPE";"siconfi-cor_RREO6CotaParteDoFPE";3842373527,41
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Transferências da LC nº 61/1989";"siconfi-cor_TransferenciasDaLCn611989";85348089,59
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Transferências do FUNDEB";"siconfi-cor_TransferenciasDoFUNDEB";3529731885,88
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Transferências Correntes";"siconfi-cor_RREO6OutrasTransferenciasCorrentes";2262966077,41
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Demais Receitas Correntes";"siconfi-cor_RREO6DemaisReceitasCorrentes";4659840356,96
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Receitas Financeiras (III)";"siconfi-cor_OutrasReceitasFinanceiras";37182438,52
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Receitas Correntes Restantes";"siconfi-cor_RREO6DiversasReceitasCorrentes";4622657918,44
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS CORRENTES (EXCETO FONTES RPPS) (IV) = (I - (II + III))";"siconfi-cor_ReceitasPrimariasCorrentesExcetoFontesRPPS";37119507577,96
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS CORRENTES (COM FONTES RPPS) (V)";"siconfi-cor_ReceitasPrimariasCorrentesComFontesRPPS";2947621067,98
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS NÃO PRIMÁRIAS CORRENTES (COM FONTES RPPS) (VI)";"siconfi-cor_ReceitasNaoPrimariasCorrentesComFontesRPPS";43177672,85
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS DE CAPITAL (EXCETO FONTES RPPS) (VII)";"siconfi-cor_ReceitasDeCapitalExcetoFontesRPPS";170585247,95
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Amortização de Empréstimos (IX)";"siconfi-cor_RREO6AmortizacaoDeEmprestimos";13980202,95
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Alienação de Bens";"siconfi-cor_RREO6AlienacaoDeBens";6980813,52
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Alienações de Bens";"siconfi-cor_OutrasAlienacoesDeBens";6980813,52
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Transferências de Capital";"siconfi-cor_RREO6TransferenciasDeCapital";149504181,48
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Convênios";"siconfi-cor_RREO6ConveniosCapital";94771126,53
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Transferências de Capital";"siconfi-cor_RREO6OutrasTransferenciasDeCapital";54733054,95
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Receitas de Capital";"siconfi-cor_RREO6OutrasReceitasDeCapital";120050,00
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"Outras Receitas de Capital Primárias";"siconfi-cor_OutrasReceitasDeCapitalPrimarias";120050,00
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITAS PRIMÁRIAS DE CAPITAL (EXCETO FONTES RPPS) (XIII) = (VII - (VIII + IX + X + XI + XII))";"siconfi-cor_ReceitasPrimariasDeCapitalExcetoFontesRPPS";156605045,00
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITA PRIMÁRIA TOTAL (XVI) = (IV + V + XIII + XIV)";"siconfi-cor_RREO6TotalReceitaPrimaria";40223733690,94
Governo do Estado de Goiás;52;GO;7206589;"RECEITAS REALIZADAS (a)";"RECEITA PRIMÁRIA TOTAL (EXCETO FONTES RPPS) (XVII) = (IV + XIII)";"siconfi-cor_ReceitaPrimariaTotalExcetoFontesRPPS";37276112622,96
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";15119199525,64
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";7004740866,38
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"ICMS";"siconfi-cor_RREO6ICMS";4842363000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"IPVA";"siconfi-cor_RREO6IPVA";259498000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"ITCD";"siconfi-cor_RREO6ITCD";23043000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"IRRF";"siconfi-cor_RREO6IRRF";1373000000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";506836866,38
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";171500000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";109665633,33
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";98038633,33
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"PREVISÃO ATUALIZADA";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";11627000,00
