"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","WSM.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Samoa","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","TZA.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Tanzania, United Republic of","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","0.0","0.0","0.0",""
"IMF.STA:GFS_COFOG(11.0.0)","BWA.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Botswana","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ARG.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Argentina","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNB.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Guinea-Bissau","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SRB.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Serbia, Republic of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","MAR.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Morocco","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","MDG.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Madagascar, Republic of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COD.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Congo, Democratic Republic of the","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","MDG.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Madagascar, Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SRB.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Serbia, Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","MDG.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Madagascar, Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNQ.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Equatorial Guinea, Republic of","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SWZ.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Eswatini, Kingdom of","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SWZ.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Eswatini, Kingdom of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","MDG.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Madagascar, Republic of","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SRB.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Serbia, Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNQ.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Equatorial Guinea, Republic of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","GNQ.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Equatorial Guinea, Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COD.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Congo, Democratic Republic of the","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","STP.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","VUT.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Vanuatu","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","STP.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","COM.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Comoros, Union of the","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","USA.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","United States","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","PRT.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Portugal","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","2.039339829569833","1.862456564286095","",""
"IMF.STA:GFS_COFOG(11.0.0)","CPV.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Cabo Verde","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SYC.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Seychelles","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","LAO.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Lao People's Democratic Republic","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SYC.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Seychelles","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","USA.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","United States","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CPV.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Cabo Verde","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","USA.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","United States","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KHM.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Cambodia","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","SYC.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Seychelles","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CPV.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Cabo Verde","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BIH.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Bosnia and Herzegovina","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","PHL.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Philippines","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","PRT.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Portugal","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","7.608227691963048","7.124399967153708","",""
"IMF.STA:GFS_COFOG(11.0.0)","ZAF.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","South Africa","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","0.146067202187352","0.0911913867537647","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","JPN.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Japan","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","3.13101339219084","3.20582096703857","",""
"IMF.STA:GFS_COFOG(11.0.0)","BIH.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Bosnia and Herzegovina","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","USA.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","United States","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CAN.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Canada","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","1.347371582556752","1.294996710256216","1.402905806772839",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ISL.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Iceland","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","8.929425940900387","8.434400662491141","8.195346365302486",""
"IMF.STA:GFS_COFOG(11.0.0)","DNK.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Denmark","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","1.165949567695844","1.095446637892602","",""
"IMF.STA:GFS_COFOG(11.0.0)","PHL.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Philippines","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","LAO.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Lao People's Democratic Republic","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","PHL.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Philippines","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ISL.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Iceland","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","0.03561779026396727","0.02066966060250252","0.006918367718077753",""
"IMF.STA:GFS_COFOG(11.0.0)","KHM.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Cambodia","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","NPL.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Nepal","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","2.03955199999077","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KHM.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Cambodia","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","PHL.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","Philippines","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","ISL.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Iceland","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","5.871404545302001","5.685775671306747","5.50738750055176",""
"IMF.STA:GFS_COFOG(11.0.0)","BIH.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Bosnia and Herzegovina","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CPV.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Cabo Verde","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","NPL.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Nepal","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","0.766814733226718","","",""
"IMF.STA:GFS_COFOG(11.0.0)","LAO.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Lao People's Democratic Republic","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","FJI.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Fiji, Republic of","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","AUT.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Austria","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","1.341143821929349","1.068459565319556","",""
"IMF.STA:GFS_COFOG(11.0.0)","USA.S13.G2MF.GF0712_T.POGDP_PT.A","OBS_VALUE","United States","General government","Expenditure by function","Other medical products, Transactions","Percent of GDP","Annual","Units","","","",""
